product_id,category,base_price,brand,popularity
1262,Accessories,1365,ShinyStuff,Low
1263,Beauty,816,StepUp,High
1264,Fashion,1031,FabTrend,High
1265,Beauty,1322,DecorNest,Medium
1266,Footwear,1907,ShinyStuff,Low
1267,Beauty,200,ShinyStuff,Medium
1268,Footwear,822,ShinyStuff,Low
1269,Beauty,787,Glowify,High
1270,Home,630,StepUp,Medium
1271,Beauty,1080,DecorNest,Low
1272,Accessories,1809,DecorNest,High
1273,Accessories,1387,DecorNest,Low
1274,Footwear,1442,StepUp,Medium
1275,Accessories,1540,FabTrend,High
1276,Fashion,859,ShinyStuff,Low
1277,Home,1152,StepUp,Low
1278,Home,1104,ShinyStuff,Medium
1279,Fashion,1105,StepUp,Medium
1280,Footwear,1583,ShinyStuff,Medium
1281,Fashion,637,StepUp,High
1282,Fashion,1246,FabTrend,High
1283,Home,1169,DecorNest,Medium
1284,Beauty,1825,ShinyStuff,High
1285,Home,1830,StepUp,Low
1286,Home,1707,FabTrend,Medium
1287,Accessories,547,FabTrend,High
1288,Fashion,1549,DecorNest,High
1289,Home,373,StepUp,Medium
1290,Fashion,781,ShinyStuff,Medium
1291,Accessories,1255,Glowify,High
1292,Fashion,1559,FabTrend,High
1293,Home,1496,FabTrend,Medium
1294,Fashion,1468,DecorNest,High
1295,Accessories,886,StepUp,Low
1296,Beauty,391,Glowify,High
1297,Fashion,1876,Glowify,Low
1298,Home,1738,Glowify,Low
1299,Accessories,681,StepUp,High
1300,Home,1577,ShinyStuff,High
